language	iso_code	gloss	ipa	asjp	sca	dolgo
nucl1305	kan	Berg::N	m ə l e	m3le	MELE	MVRV
nucl1305	kan	Berg::N	p ə r ʋ ə t a	p3rw3ta	PERWETA	PVRWVTV
nucl1305	kan	Gipfel::N	ɕ r ɨ ŋ ɡ a	Sr3Nga	SRINKA	SRVNKV
nucl1305	kan	Höhle::N	ɡ ʊ h e	guhe	KYHE	KVHV
nucl1305	kan	Abhang::N	j ɪ ɭ ɪ d͡ʒ a a r u	yiLijaru	JILICARY	JVRVKVRV
nucl1305	kan	Quelle::N	m u u l a	mula	MYLA	MVRV
nucl1305	kan	Bach::N	t ɔ r e	tore	TURE	TVRV
nucl1305	kan	Fluss::N	n ə d i	n3di	NETI	NVTV
nucl1305	kan	Ufer::N	t i i r a	tira	TIRA	TVRV
nucl1305	kan	Küste::N	d ə ŋ ɖ e	d3Nde	TENTE	TVNTV
nucl1305	kan	Festland::N	bʰ u u m i	bumi	PYMI	PVMV
nucl1305	kan	Meer::N	k ə ɖ ə l u	k3d3lu	KETELY	KVTVRV
nucl1305	kan	Bucht::N	kʰ a a r i	kari	KARI	KVRV
nucl1305	kan	Insel::N	d ʋ i i p a	dwipa	TWIPA	TWVPV
nucl1305	kan	Blume::N	s ʊ m a	suma	SYMA	SVMV
nucl1305	kan	Gras::N	h ʊ l l u	hulu	HYLY	HVRV
nucl1305	kan	Wurzel::N	b e e r u	beru	PERY	PVRV
nucl1305	kan	Baum::N	m ə r a	m3ra	MERA	MVRV
nucl1305	kan	Stamm::N	k a a ŋ ɖ a	kaNda	KANTA	KVNTV
nucl1305	kan	Rinde::N	t u u ɡ ə ʈ i	tug3ti	TYKETI	TVKVTV
nucl1305	kan	Ast::N	ɕ a a kʰ e	Sake	SAKE	SVKV
nucl1305	kan	Zweig::N	r ɛ ŋ b e	rENbe	RENPE	RVNPV
nucl1305	kan	Blatt::N	j ɛ l e	yEle	JELE	JVRV
nucl1305	kan	Birke::N	b ə r t͡ʃ _ m ə r a	b3rCm3ra	PERC_MERA	PVRK_MVRV
nucl1305	kan	Kiefer[Baum]::N	d e e ʋ ə d a a r ʊ _ m ə r a	dew3darum3ra	TEWETARY_MERA	TVWVTVRV_MVRV
nucl1305	kan	Weide[Baum]::N	ʋ ɪ l o o m ə r a	wilom3ra	WILUMERA	WVRVMVRV
nucl1305	kan	Tanne::N	bʰ ə d r ə d a a r u	b3dr3daru	PETRETARY	PVTRVTVRV
nucl1305	kan	Horn::N	k ɔ ŋ b u	koNbu	KUNPY	KVNPV
nucl1305	kan	Feder::N	p ʊ k k a	puka	PYKA	PVKV
nucl1305	kan	Fell::N	r o o m a	roma	RUMA	RVMV
nucl1305	kan	Flügel::N	r ɛ k k e	rEke	REKE	RVKV
nucl1305	kan	Klaue::N	p ə ŋ d͡ʒ a	p3Nja	PENCA	PVNKV
nucl1305	kan	Kralle::N	w ʊ ɡ ʊ r u	wuguru	WYKYRY	WVKVRV
nucl1305	kan	Schwanz::N	b a a l a	bala	PALA	PVRV
nucl1305	kan	Ei::N	m ɔ ʈ ʈ e	mote	MUTE	MVTV
nucl1305	kan	Nest::N	ɡ u u ɖ u	gudu	KYTY	KVTV
nucl1305	kan	Bau::N	ə ɖ ə ɡ ʊ d a a ɳ a	3d3gudana	ETEKYTANA	VTVKVTVNV
nucl1305	kan	Tier::N	p r a a ɳ i	prani	PRANI	PRVNV
nucl1305	kan	Herde::N	ɡ ʊ ŋ p u	guNpu	KYNPY	KVNPV
nucl1305	kan	Kuh::N	h ə s u	h3su	HESY	HVSV
nucl1305	kan	Bulle::N	ɡ u u ɭ i	guLi	KYLI	KVRV
nucl1305	kan	Pferd::N	k ʊ d ʊ r e	kudure	KYTYRE	KVTVRV
nucl1305	kan	Schaf::N	k ʊ r i	kuri	KYRI	KVRV
nucl1305	kan	Schwein::N	h ə ŋ d i	h3Ndi	HENTI	HVNTV
nucl1305	kan	Hund::N	n a a j i	nayi	NAJI	NVJV
nucl1305	kan	Katze::N	b ɛ k k u	bEku	PEKY	PVKV
nucl1305	kan	Bär::N	k ə r ə ɖ i	k3r3di	KERETI	KVRVTV
nucl1305	kan	Eichhörnchen::N	w ʊ ɖ ʊ t e	wudute	WYTYTE	WVTVTV
nucl1305	kan	Elch::N	k ə ɖ ə ʋ e	k3d3we	KETEWE	KVTVWV
nucl1305	kan	Fuchs::N	n ə r i	n3ri	NERI	NVRV
nucl1305	kan	Hase::N	m ɔ l a	mola	MULA	MVRV
nucl1305	kan	Maus::N	j ɪ l i	yili	JILI	JVRV
nucl1305	kan	Wolf::N	t o o ɭ a	toLa	TULA	TVRV
nucl1305	kan	Vogel::N	p ə k ʂ i	p3kSi	PEKSI	PVKSV
nucl1305	kan	Schwarm::N	ɡ ʊ ŋ p u	guNpu	KYNPY	KVNPV
nucl1305	kan	Huhn::N	t͡ʃ ɪ k	Cik	CIK	KVK
nucl1305	kan	Hahn::N	h ʊ ŋ d͡ʒ a	huNja	HYNCA	HVNKV
nucl1305	kan	Gans::N	ʋ ə r ə ʈ e	w3r3te	WERETE	WVRVTV
nucl1305	kan	Adler::N	ɡ ə r ʊ ɖ a	g3ruda	KERYTA	KVRVTV
nucl1305	kan	Ente::N	b a a t u	batu	PATY	PVTV
nucl1305	kan	Eule::N	ɡ u u b e	gube	KYPE	KVPV
nucl1305	kan	Kranich::N	k ɔ k k ə r a	kok3ra	KUKERA	KVKVRV
nucl1305	kan	Krähe::N	k a a ɡ e	kage	KAKE	KVKV
nucl1305	kan	Kuckuck::N	k o o ɡ ɪ l e	kogile	KUKILE	KVKVRV
nucl1305	kan	Schwan::N	h ə ŋ s ə p ə k ʂ i	h3Ns3p3kSi	HENSEPEKSI	HVNSVPVKSV
nucl1305	kan	Fisch::N	m i i n u	minu	MINY	MVNV
nucl1305	kan	Barsch::N	p ə r t͡ʃ _ m i i n u	p3rCminu	PERC_MINY	PVRK_MVNV
nucl1305	kan	Hecht::N	p ə ɪ k _ m i i n u	p3ikminu	PEIK_MINY	PVK_MVNV
nucl1305	kan	Schlange[Tier]::N	h a a ʋ u	hawu	HAWY	HVWV
nucl1305	kan	Wurm::N	h ʊ ɭ u	huLu	HYLY	HVRV
nucl1305	kan	Spinne::N	w u u r ɳ ə n a a bʰ a	wurn3naba	WYRNENAPA	WVRNVNVPV
nucl1305	kan	Ameise::N	j ɪ r ʊ ʋ e	yiruwe	JIRYWE	JVRVWV
nucl1305	kan	Laus::N	h e e n u	henu	HENY	HVNV
nucl1305	kan	Mücke::N	s ɔ ɭ ɭ e	soLe	SULE	SVRV
nucl1305	kan	Fliege::N	n ɔ ɳ a	nona	NUNA	NVNV
nucl1305	kan	Schmetterling::N	p ə t ə ŋ ɡ a	p3t3Nga	PETENKA	PVTVNKV
nucl1305	kan	Beere::N	n ə j ə ʋ ə ɳ ɳ u	n3y3w3nu	NEJEWENY	NVJVWVNV
nucl1305	kan	Apfel::N	s e e b u	sebu	SEPY	SVPV
nucl1305	kan	Pilz::N	ə ɳ ə b e	3n3be	ENEPE	VNVPV
nucl1305	kan	Zwiebel::N	n i i r ʊ ɭ ɭ i	niruLi	NIRYLI	NVRVRV
nucl1305	kan	Saat::N	b ɪ t t a	bita	PITA	PVTV
nucl1305	kan	Korn::N	b i i d͡ʒ a	bija	PICA	PVKV
nucl1305	kan	Heu::N	k ə r ə ɖ a	k3r3da	KERETA	KVRVTV
nucl1305	kan	Schale::N	h ɔ ʈ ʈ u	hotu	HUTY	HVTV
nucl1305	kan	Grube::N	ɡ ʊ ŋ ɖ i	guNdi	KYNTI	KVNTV
nucl1305	kan	Falle::N	b o o n u	bonu	PUNY	PVNV
nucl1305	kan	Schlinge::N	w ʊ r ʊ l u	wurulu	WYRYLY	WVRVRV
nucl1305	kan	Spur::N	d͡ʒ a a ɖ u	jadu	CATY	KVTV
nucl1305	kan	Asche::N	b u u d i	budi	PYTI	PVTV
nucl1305	kan	Dreck::N	h ɔ l ə s u	hol3su	HULESY	HVRVSV
nucl1305	kan	Eisen::N	k ə b b ɪ ɳ a	k3bina	KEPINA	KVPVNV
nucl1305	kan	Gold::N	t͡ʃ ɪ n n a	Cina	CINA	KVNV
nucl1305	kan	Silber::N	b ɛ ɭ ɭ i	bELi	PELI	PVRV
nucl1305	kan	Kohle::N	k ə l l ɪ d d ə l u	k3lid3lu	KELITELY	KVRVTVRV
nucl1305	kan	Glas::N	ɡ a a d͡ʒ u	gaju	KACY	KVKV
nucl1305	kan	Lehm::N	d͡ʒ e e ɖ ɪ m ə ɳ ɳ u	jedim3nu	CETIMENY	KVTVMVNV
nucl1305	kan	Sand::N	m ə r ə ɭ u	m3r3Lu	MERELY	MVRVRV
nucl1305	kan	Mensch::N	p ʊ r ʊ ʂ a	puruSa	PYRYSA	PVRVSV
nucl1305	kan	Mann::N	a a ɭ u	aLu	ALY	VRV
nucl1305	kan	Frau::N	h ɛ ɳ ɳ u	hEnu	HENY	HVNV
nucl1305	kan	Kind::N	m ə ɡ u	m3gu	MEKY	MVKV
nucl1305	kan	Junge::N	h ʊ ɖ ʊ ɡ a	huduga	HYTYKA	HVTVKV
nucl1305	kan	Mädchen::N	h ʊ ɖ ʊ ɡ i	hudugi	HYTYKI	HVTVKV
nucl1305	kan	Familie::N	k ʊ ʈ ʊ ŋ b a	kutuNba	KYTYNPA	KVTVNPV
nucl1305	kan	Großvater::N	ə d d͡ʒ a	3ja	ECA	VKV
nucl1305	kan	Großmutter::N	ə m m a	3ma	EMA	VMV
nucl1305	kan	Eltern::N	h ɛ t t ə ʋ ə r u	hEt3w3ru	HETEWERY	HVTVWVRV
nucl1305	kan	Vater::N	t ə ŋ d e	t3Nde	TENTE	TVNTV
nucl1305	kan	Mutter::N	ə m m a	3ma	EMA	VMV
nucl1305	kan	Sohn::N	m ə ɡ ə _	m3g3	MEKE_	MVKV_
nucl1305	kan	Tochter::N	m ə ɡ ə ɭ u	m3g3Lu	MEKELY	MVKVRV
nucl1305	kan	Bruder::N	t ə m m a	t3ma	TEMA	TVMV
nucl1305	kan	Schwester::N	t ə ŋ ɡ i	t3Ngi	TENKI	TVNKV
nucl1305	kan	Onkel::N	s o o d ə r ə m a a ʋ a	sod3r3mawa	SUTEREMAWA	SVTVRVMVWV
nucl1305	kan	Onkel::N	d ɔ ɖ ɖ ə p p a	dod3pa	TUTEPA	TVTVPV
nucl1305	kan	Tante::N	t͡ʃ ɪ k k ə m m a	Cik3ma	CIKEMA	KVKVMV
nucl1305	kan	Ehemann::N	ɡ ə ŋ ɖ a	g3Nda	KENTA	KVNTV
nucl1305	kan	Ehefrau::N	h ɛ ŋ ɖ ə t i	hENd3ti	HENTETI	HVNTVTV
nucl1305	kan	Freude::N	n ə l ɪ ʋ u	n3liwu	NELIWY	NVRVWV
nucl1305	kan	Gelächter::N	n ə ɡ e	n3ge	NEKE	NVKV
nucl1305	kan	Glück::N	a a n ə ŋ d a	an3Nda	ANENTA	VNVNTV
nucl1305	kan	Kummer::N	d ʊ h kʰ a	duhka	TYHKA	TVHKV
nucl1305	kan	Wunsch::N	b ə j ə k e	b3y3ke	PEJEKE	PVJVKV
nucl1305	kan	Lust::N	j ɪ ʂ ʈ a	yiSta	JISTA	JVSTV
nucl1305	kan	Geist::N	a a t m a	atma	ATMA	VTMV
nucl1305	kan	Gedanke::N	j o o t͡ʃ ə n e	yoC3ne	JUCENE	JVKVNV
nucl1305	kan	Gedächtnis::N	s m ə r ə ɳ e	sm3r3ne	SMERENE	SMVRVNV
nucl1305	kan	Verstand::N	m ə n ə s s u	m3n3su	MENESY	MVNVSV
nucl1305	kan	Sinn::N	ə r t h a	3rtha	ERTHA	VRTHV
nucl1305	kan	Grund::N	k a a r ə ɳ a	kar3na	KARENA	KVRVNV
nucl1305	kan	Wahrheit::N	s ə t j a	s3tya	SETJA	SVTJV
nucl1305	kan	Gespräch::N	s ə ŋ bʰ a a ʂ ə ɳ e	s3NbaS3ne	SENPASENE	SVNPVSVNV
nucl1305	kan	Märchen::N	s ʊ ɭ ɭ ʊ _ k ə t h e	suLuk3the	SYLY_KETHE	SVRV_KVTHV
nucl1305	kan	Erzählung::N	k ə t h e	k3the	KETHE	KVTHV
nucl1305	kan	Nachricht::N	s ə ŋ d e e ɕ a	s3NdeSa	SENTESA	SVNTVSV
nucl1305	kan	Neuigkeit::N	s ʊ d d i	sudi	SYTI	SVTV
nucl1305	kan	Name::N	h ɛ s ə r u	hEs3ru	HESERY	HVSVRV
nucl1305	kan	Rätsel::N	w ɔ ɡ ə ʈ u	wog3tu	WUKETY	WVKVTV
nucl1305	kan	Rede::N	m a a t u	matu	MATY	MVTV
nucl1305	kan	Sprache::N	bʰ a a ʂ e	baSe	PASE	PVSV
nucl1305	kan	Stimme::N	d h ʋ ə n i	dhw3ni	THWENI	THWVNV
nucl1305	kan	Wort::N	m a a t u	matu	MATY	MVTV
nucl1305	kan	Zeichen::N	ɡ ʊ r ʊ t u	gurutu	KYRYTY	KVRVTV
nucl1305	kan	Ruf::N	k u u ɡ u	kugu	KYKY	KVKV
nucl1305	kan	Lärm::N	s ə d d u	s3du	SETY	SVTV
nucl1305	kan	Laut::N	ɕ ə b d a	S3bda	SEPTA	SVPTV
nucl1305	kan	Ton::N	n a a d a	nada	NATA	NVTV
nucl1305	kan	Lied::N	ɡ a a n a	gana	KANA	KVNV
nucl1305	kan	Ruhe::N	ɕ a a ŋ t i	SaNti	SANTI	SVNTV
nucl1305	kan	Leute::N	m ə ŋ d i	m3Ndi	MENTI	MVNTV
nucl1305	kan	Volk::N	d͡ʒ ə n a a ŋ ɡ a	j3naNga	CENANKA	KVNVNKV
nucl1305	kan	Arbeit::N	k ɛ l ə s a	kEl3sa	KELESA	KVRVSV
nucl1305	kan	Gast::N	ə t ɪ t h i	3tithi	ETITHI	VTVTHV
nucl1305	kan	Geschenk::N	k a a ɳ ɪ k e	kanike	KANIKE	KVNVKV
nucl1305	kan	Spiel::N	a a ʈ a	ata	ATA	VTV
nucl1305	kan	Gesellschaft::N	s ə ŋ ɡ a	s3Nga	SENKA	SVNKV
nucl1305	kan	Hilfe::N	s ə h a a j a	s3haya	SEHAJA	SVHVJV
nucl1305	kan	Freund::N	s n e e h ɪ t a	snehita	SNEHITA	SNVHVTV
nucl1305	kan	Kamerad::N	d͡ʒ ɔ t ɛ ɡ a a r a	jotEgara	CUTEKARA	KVTVKVRV
nucl1305	kan	Angelegenheit::N	ʋ ɪ t͡ʃ a a r a	wiCara	WICARA	WVKVRV
nucl1305	kan	Anzahl::N	j ɛ ɳ ɪ k e	yEnike	JENIKE	JVNVKV
nucl1305	kan	Art::N	t ə r a	t3ra	TERA	TVRV
