language	iso_code	gloss	ipa	asjp	sca	dolgo	Cognate Class
telu1262	tel	messen::V	k o l u t͡ɕ u ʈ ʌ	koluCuto	KULYCYTE	KVRVKVTV	3
mala1464	mal	Messer::N	k a t t i	kati	KATI	KVTV	1
nucl1305	kan	Messer::N	t͡ʃ a a k u	Caku	CAKY	KVKV	2
tami1289	tam	Messer::N	k ʌ t t i	koti	KETI	KVTV	1
telu1262	tel	Messer::N	k ʌ t t i	koti	KETI	KVTV	1
mala1464	mal	Milch::N	p a a l	pal	PAL	PVR	1
nucl1305	kan	Milch::N	h a a l u	halu	HALY	HVRV	1
tami1289	tam	Milch::N	p ɑ ɑ l	pal	PAL	PVR	1
telu1262	tel	Milch::N	p a a l u	palu	PALY	PVRV	1
mala1464	mal	Mittag::N	u t t͡ʃ a	uCa	YCA	VKV	2
nucl1305	kan	Mittag::N	n ə ɖ ʊ h ə ɡ ə l u	n3duh3g3lu	NETYHEKELY	NVTVHVKVRV	2
tami1289	tam	Mittag::N	m ʌ ð i j ʌ m	mo8iyom	MEDIJEM	MVTVJVM	1
telu1262	tel	Mittag::N	m ʌ d h j a a h n ʌ m u	modhyahnomu	METHJAHNEMY	MVTHJVHNVMV	1
mala1464	mal	Mitte::N	m a d ɦ j a s t ɦ a a n a m	madhyasthanam	MATHJASTHANAM	MVTHJVSTHVNVM	3
nucl1305	kan	Mitte::N	n ə ɖ u	n3du	NETY	NVTV	3
tami1289	tam	Mitte::N	i ɖ ʌ i p p ʌ h u t i	idoipohuti	ITEIPEHYTI	VTVPVHVTV	1
telu1262	tel	Mitte::N	n ʌ ɖ i m i	nodimi	NETIMI	NVTVMV	2
mala1464	mal	mitteilen::V	a r i j i k k ʲ u ɡ a	ariyikuga	ARIJIKYKA	VRVJVKVKV	2
nucl1305	kan	mitteilen::V	t ɪ ɭ ɪ s u	tiLisu	TILISY	TVRVSV	3
tami1289	tam	mitteilen::V	t͡ɕ o l	Col	CUL	KVR	1
telu1262	tel	mitteilen::V	t e l i j ʌ d͡ʑ e e j u	teliyojeyu	TELIJECEJY	TVRVJVKVJV	3
mala1464	mal	Mittwoch::N	b u d ɦ a n a a ɻ t͡ʃ a	budhanaLCa	PYTHANARCA	PVTHVNVRKV	1
nucl1305	kan	Mittwoch::N	b ʊ d h ə ʋ a a r a	budh3wara	PYTHEWARA	PVTHVWVRV	1
tami1289	tam	Mittwoch::N	p u ð ʌ n _ k i ɻ ʌ m ʌ i	pu8onkiLomoi	PYDEN_KIREMEI	PVTVN_KVRVMV	2
